Epoch: [27][30/85],Time 1.642 (1.754), Data 1.555 (1.667),Loss 1.9243 (1.7054), Prec@1 54.000 (63.300), Prec@5 67.000 (71.167)
Epoch: [27][60/85],Time 1.814 (1.757), Data 1.727 (1.670),Loss 1.4759 (1.6558), Prec@1 65.000 (63.667), Prec@5 72.000 (71.617)
Epoch: [28][30/85],Time 1.787 (1.745), Data 1.701 (1.659),Loss 1.5918 (1.7977), Prec@1 65.000 (63.333), Prec@5 73.000 (71.200)
Epoch: [28][60/85],Time 1.740 (1.749), Data 1.652 (1.662),Loss 1.5707 (1.7248), Prec@1 65.000 (63.733), Prec@5 70.000 (71.217)
Epoch: [29][30/85],Time 1.889 (1.748), Data 1.803 (1.662),Loss 1.2764 (1.6046), Prec@1 71.000 (63.700), Prec@5 77.000 (72.200)
Epoch: [29][60/85],Time 1.791 (1.749), Data 1.704 (1.662),Loss 1.4930 (1.6155), Prec@1 66.000 (63.433), Prec@5 72.000 (71.783)
Epoch: [30][30/85],Time 1.687 (1.744), Data 1.600 (1.657),Loss 1.7177 (1.6162), Prec@1 62.000 (63.367), Prec@5 66.000 (71.633)
Epoch: [30][60/85],Time 1.849 (1.741), Data 1.763 (1.654),Loss 1.4390 (1.6087), Prec@1 65.000 (63.100), Prec@5 75.000 (71.683)
Epoch: [31][30/85],Time 1.769 (1.756), Data 1.682 (1.670),Loss 1.4667 (1.6011), Prec@1 65.000 (63.867), Prec@5 72.000 (72.367)
Epoch: [31][60/85],Time 1.655 (1.744), Data 1.569 (1.657),Loss 1.9490 (1.6151), Prec@1 58.000 (63.333), Prec@5 63.000 (71.600)
Epoch: [32][30/85],Time 1.741 (1.782), Data 1.654 (1.695),Loss 1.6166 (1.5256), Prec@1 63.000 (65.533), Prec@5 75.000 (74.567)
Epoch: [32][60/85],Time 1.582 (1.760), Data 1.495 (1.673),Loss 1.9024 (1.5835), Prec@1 53.000 (64.250), Prec@5 63.000 (72.683)
Epoch: [33][30/85],Time 1.739 (1.742), Data 1.653 (1.656),Loss 1.5297 (1.6113), Prec@1 64.000 (62.767), Prec@5 72.000 (71.167)
Epoch: [33][60/85],Time 1.783 (1.745), Data 1.696 (1.659),Loss 1.4565 (1.6133), Prec@1 66.000 (63.317), Prec@5 75.000 (71.467)
Epoch: [34][30/85],Time 1.782 (1.764), Data 1.696 (1.678),Loss 1.4947 (1.6034), Prec@1 64.000 (64.733), Prec@5 73.000 (72.400)
Epoch: [34][60/85],Time 1.936 (1.755), Data 1.850 (1.668),Loss 1.3483 (1.6229), Prec@1 72.000 (63.833), Prec@5 78.000 (72.233)
Epoch: [35][30/85],Time 1.865 (1.729), Data 1.779 (1.642),Loss 1.5100 (1.7062), Prec@1 69.000 (62.433), Prec@5 73.000 (70.600)
Epoch: [35][60/85],Time 1.868 (1.748), Data 1.782 (1.661),Loss 1.4910 (1.6224), Prec@1 69.000 (63.750), Prec@5 72.000 (71.683)
Epoch: [36][30/85],Time 1.628 (1.739), Data 1.542 (1.652),Loss 1.8966 (1.6118), Prec@1 57.000 (63.200), Prec@5 61.000 (71.100)
Epoch: [36][60/85],Time 1.852 (1.756), Data 1.765 (1.670),Loss 1.2952 (1.5769), Prec@1 70.000 (63.933), Prec@5 74.000 (72.183)
Epoch: [37][30/85],Time 1.753 (1.738), Data 1.666 (1.651),Loss 1.5491 (1.6221), Prec@1 64.000 (63.267), Prec@5 75.000 (71.533)
Epoch: [37][60/85],Time 1.732 (1.747), Data 1.644 (1.660),Loss 1.5115 (1.5862), Prec@1 64.000 (63.667), Prec@5 73.000 (71.933)
Epoch: [38][30/85],Time 1.720 (1.743), Data 1.634 (1.656),Loss 1.6327 (1.6610), Prec@1 63.000 (63.267), Prec@5 74.000 (71.833)
Epoch: [38][60/85],Time 1.778 (1.745), Data 1.691 (1.658),Loss 1.4648 (1.6174), Prec@1 66.000 (63.567), Prec@5 71.000 (71.733)
Epoch: [39][30/85],Time 1.867 (1.767), Data 1.781 (1.680),Loss 1.2679 (1.5175), Prec@1 73.000 (64.533), Prec@5 76.000 (73.167)
Epoch: [39][60/85],Time 1.835 (1.751), Data 1.749 (1.665),Loss 1.4798 (1.5611), Prec@1 64.000 (63.733), Prec@5 72.000 (71.817)
Epoch: [40][30/85],Time 1.607 (1.770), Data 1.519 (1.684),Loss 1.7588 (1.5229), Prec@1 57.000 (64.533), Prec@5 67.000 (72.833)
Epoch: [40][60/85],Time 1.701 (1.746), Data 1.615 (1.659),Loss 1.8586 (1.5699), Prec@1 59.000 (63.417), Prec@5 68.000 (71.850)
Epoch: [41][30/85],Time 1.822 (1.734), Data 1.735 (1.648),Loss 1.4787 (1.6114), Prec@1 66.000 (62.800), Prec@5 76.000 (71.100)
Epoch: [41][60/85],Time 1.851 (1.747), Data 1.765 (1.660),Loss 1.4170 (1.5812), Prec@1 67.000 (63.517), Prec@5 72.000 (71.767)
Epoch: [42][30/85],Time 1.791 (1.760), Data 1.705 (1.673),Loss 1.2945 (1.5845), Prec@1 69.000 (63.900), Prec@5 78.000 (72.333)
Epoch: [42][60/85],Time 1.648 (1.751), Data 1.561 (1.664),Loss 1.7543 (1.5808), Prec@1 60.000 (63.483), Prec@5 68.000 (72.017)
Epoch: [43][30/85],Time 1.823 (1.742), Data 1.736 (1.656),Loss 1.5474 (1.6367), Prec@1 68.000 (63.433), Prec@5 76.000 (71.700)
Epoch: [43][60/85],Time 1.738 (1.754), Data 1.652 (1.667),Loss 1.4985 (1.5763), Prec@1 65.000 (63.983), Prec@5 68.000 (72.100)
Epoch: [44][30/85],Time 1.860 (1.738), Data 1.773 (1.651),Loss 1.2379 (1.6559), Prec@1 71.000 (62.600), Prec@5 81.000 (71.167)
Epoch: [44][60/85],Time 1.842 (1.742), Data 1.755 (1.656),Loss 1.3125 (1.5984), Prec@1 69.000 (63.250), Prec@5 80.000 (71.833)
Epoch: [45][30/85],Time 1.917 (1.732), Data 1.830 (1.645),Loss 1.1651 (1.5984), Prec@1 74.000 (62.400), Prec@5 79.000 (70.567)
Epoch: [45][60/85],Time 1.731 (1.743), Data 1.644 (1.656),Loss 1.7242 (1.5713), Prec@1 60.000 (63.283), Prec@5 73.000 (71.767)
Epoch: [46][30/85],Time 1.729 (1.732), Data 1.642 (1.646),Loss 1.8126 (1.7838), Prec@1 62.000 (62.533), Prec@5 72.000 (70.600)
Epoch: [46][60/85],Time 1.795 (1.750), Data 1.709 (1.663),Loss 1.4951 (1.6691), Prec@1 65.000 (63.650), Prec@5 72.000 (71.917)
Epoch: [47][30/85],Time 1.806 (1.735), Data 1.720 (1.648),Loss 1.4973 (1.6044), Prec@1 65.000 (62.700), Prec@5 76.000 (71.733)
Epoch: [47][60/85],Time 1.778 (1.766), Data 1.692 (1.679),Loss 1.4823 (1.5583), Prec@1 66.000 (63.583), Prec@5 72.000 (72.083)
Epoch: [48][30/85],Time 1.752 (1.776), Data 1.666 (1.690),Loss 1.5243 (1.5207), Prec@1 63.000 (64.800), Prec@5 68.000 (73.867)
Epoch: [48][60/85],Time 1.654 (1.759), Data 1.568 (1.672),Loss 1.6008 (1.5495), Prec@1 60.000 (63.833), Prec@5 71.000 (72.633)
Epoch: [49][30/85],Time 1.734 (1.771), Data 1.648 (1.684),Loss 1.5153 (1.4990), Prec@1 65.000 (64.967), Prec@5 77.000 (73.900)
Epoch: [49][60/85],Time 1.708 (1.755), Data 1.621 (1.669),Loss 1.7147 (1.5480), Prec@1 59.000 (63.733), Prec@5 69.000 (72.550)
Epoch: [50][30/85],Time 2.500 (2.560), Data 2.413 (2.474),Loss 1.6951 (1.6078), Prec@1 61.000 (63.633), Prec@5 71.000 (72.100)
Epoch: [50][60/85],Time 2.683 (2.585), Data 2.596 (2.498),Loss 1.5226 (1.6008), Prec@1 66.000 (63.133), Prec@5 75.000 (71.450)
Epoch: [51][30/85],Time 1.806 (1.743), Data 1.720 (1.656),Loss 1.5702 (1.5585), Prec@1 66.000 (63.500), Prec@5 75.000 (72.433)
Epoch: [51][60/85],Time 1.822 (1.751), Data 1.735 (1.664),Loss 1.3134 (1.5419), Prec@1 70.000 (63.967), Prec@5 75.000 (72.683)
Epoch: [52][30/85],Time 1.811 (1.753), Data 1.724 (1.666),Loss 1.5441 (1.5063), Prec@1 65.000 (64.133), Prec@5 74.000 (73.467)
Epoch: [52][60/85],Time 1.776 (1.758), Data 1.689 (1.671),Loss 1.4961 (1.5109), Prec@1 65.000 (64.183), Prec@5 76.000 (72.817)
Epoch: [53][30/85],Time 1.898 (1.742), Data 1.811 (1.655),Loss 1.1135 (1.5617), Prec@1 73.000 (63.733), Prec@5 80.000 (72.767)
Epoch: [53][60/85],Time 1.719 (1.745), Data 1.632 (1.659),Loss 1.4859 (1.5518), Prec@1 63.000 (63.583), Prec@5 70.000 (72.633)
Epoch: [54][30/85],Time 1.624 (1.735), Data 1.537 (1.648),Loss 1.7926 (1.6027), Prec@1 57.000 (62.500), Prec@5 66.000 (71.967)
Epoch: [54][60/85],Time 1.728 (1.743), Data 1.642 (1.656),Loss 1.5098 (1.5638), Prec@1 63.000 (63.017), Prec@5 68.000 (71.717)
Epoch: [55][30/85],Time 1.792 (1.754), Data 1.706 (1.667),Loss 1.6485 (1.5846), Prec@1 67.000 (64.233), Prec@5 72.000 (72.267)
Epoch: [55][60/85],Time 1.686 (1.743), Data 1.599 (1.657),Loss 1.6718 (1.5844), Prec@1 60.000 (63.483), Prec@5 70.000 (71.933)
Epoch: [56][30/85],Time 1.885 (1.745), Data 1.798 (1.658),Loss 1.2781 (1.5333), Prec@1 70.000 (63.200), Prec@5 77.000 (72.067)
Epoch: [56][60/85],Time 1.767 (1.748), Data 1.681 (1.662),Loss 1.3530 (1.5262), Prec@1 67.000 (63.350), Prec@5 75.000 (72.133)
Epoch: [57][30/85],Time 1.855 (1.752), Data 1.768 (1.665),Loss 1.4261 (1.5062), Prec@1 67.000 (63.500), Prec@5 76.000 (72.233)
Epoch: [57][60/85],Time 1.636 (1.751), Data 1.550 (1.664),Loss 1.6691 (1.5094), Prec@1 57.000 (63.617), Prec@5 66.000 (72.067)
Epoch: [58][30/85],Time 1.766 (1.749), Data 1.679 (1.662),Loss 1.5888 (1.5758), Prec@1 63.000 (62.833), Prec@5 73.000 (71.500)
Epoch: [58][60/85],Time 1.703 (1.750), Data 1.617 (1.663),Loss 1.5065 (1.5374), Prec@1 63.000 (63.500), Prec@5 72.000 (72.317)
Epoch: [59][30/85],Time 1.785 (1.758), Data 1.699 (1.672),Loss 1.5573 (1.7083), Prec@1 65.000 (64.667), Prec@5 73.000 (72.633)
Epoch: [59][60/85],Time 1.615 (1.748), Data 1.529 (1.662),Loss 1.6262 (1.6519), Prec@1 60.000 (63.700), Prec@5 70.000 (72.367)
Epoch: [60][30/85],Time 1.651 (1.724), Data 1.564 (1.638),Loss 1.5676 (1.5803), Prec@1 60.000 (62.233), Prec@5 70.000 (71.733)
Epoch: [60][60/85],Time 1.669 (1.738), Data 1.582 (1.652),Loss 1.6255 (1.5534), Prec@1 61.000 (62.917), Prec@5 71.000 (71.750)
Epoch: [61][30/85],Time 1.835 (1.764), Data 1.749 (1.677),Loss 1.3201 (1.5176), Prec@1 72.000 (64.133), Prec@5 76.000 (72.767)
Epoch: [61][60/85],Time 1.647 (1.761), Data 1.561 (1.674),Loss 1.6038 (1.5161), Prec@1 62.000 (64.067), Prec@5 68.000 (72.717)
Epoch: [62][30/85],Time 1.654 (1.771), Data 1.568 (1.684),Loss 1.8207 (1.4821), Prec@1 58.000 (65.267), Prec@5 70.000 (73.267)
Epoch: [62][60/85],Time 1.766 (1.761), Data 1.678 (1.675),Loss 1.4938 (1.4994), Prec@1 63.000 (64.600), Prec@5 70.000 (73.100)
Epoch: [63][30/85],Time 1.638 (1.766), Data 1.552 (1.679),Loss 1.5267 (1.4749), Prec@1 62.000 (64.867), Prec@5 71.000 (72.600)
Epoch: [63][60/85],Time 1.596 (1.751), Data 1.509 (1.665),Loss 1.6857 (1.4902), Prec@1 59.000 (64.367), Prec@5 65.000 (72.250)
Epoch: [64][30/85],Time 1.683 (1.752), Data 1.596 (1.665),Loss 1.6876 (1.7063), Prec@1 61.000 (63.367), Prec@5 70.000 (72.900)
Epoch: [64][60/85],Time 1.763 (1.749), Data 1.675 (1.663),Loss 1.4163 (1.6358), Prec@1 66.000 (63.433), Prec@5 79.000 (72.450)
Epoch: [65][30/85],Time 1.843 (1.750), Data 1.756 (1.663),Loss 1.1671 (1.5014), Prec@1 71.000 (64.333), Prec@5 74.000 (72.300)
